1	Am the life of the party.	О	О	О	О	О	(1+)
2	Feel little concern for others.	О	О	О	О	О	(2-)
3	Am always prepared.	О	О	О	О	О	(3+)
4	Get stressed out easily.	О	О	О	О	О	(4-)
5	Have a rich vocabulary.	О	О	О	О	О	(5+)
6	Don't talk a lot.	О	О	О	О	О	(1-)
7	Am interested in people.	О	О	О	О	О	(2+)
8	Leave my belongings around.	О	О	О	О	О	(3-)
9	Am relaxed most of the time.	О	О	О	О	О	(4+)
10	Have difficulty understanding abstract ideas.	О	О	О	О	О	(5-)
11	Feel comfortable around people.	О	О	О	О	О	(1+)
12	Insult people.	О	О	О	О	О	(2-)
13	Pay attention to details.	О	О	О	О	О	(3+)
14	Worry about things.	О	О	О	О	О	(4-)
15	Have a vivid imagination.	О	О	О	О	О	(5+)
16	Keep in the background.	О	О	О	О	О	(1-)
17	Sympathize with others' feelings.	О	О	О	О	О	(2+)
18	Make a mess of things.	О	О	О	О	О	(3-)
19	Seldom feel blue.	О	О	О	О	О	(4+)
20	Am not interested in abstract ideas.	О	О	О	О	О	(5-)
21	Start conversations.	О	О	О	О	О	(1+)
22	Am not interested in other people's problems.	О	О	О	О	О	(2-)
23	Get chores done right away.	О	О	О	О	О	(3+)
24	Am easily disturbed.	О	О	О	О	О	(4-)
25	Have excellent ideas.	О	О	О	О	О	(5+)
26	Have little to say.	О	О	О	О	О	(1-)
27	Have a soft heart.	О	О	О	О	О	(2+)
28	Often forget to put things back in their proper place.	О	О	О	О	О	(3-)
29	Get upset easily.	О	О	О	О	О	(4-)
30	Do not have a good imagination.	О	О	О	О	О	(5-)
31	Talk to a lot of different people at parties.	О	О	О	О	О	(1+)
32	Am not really interested in others.	О	О	О	О	О	(2-)
33	Like order.	О	О	О	О	О	(3+)
34	Change my mood a lot.	О	О	О	О	О	(4-)
35	Am quick to understand things.	О	О	О	О	О	(5+)
36	Don't like to draw attention to myself.	О	О	О	О	О	(1-)
37	Take time out for others.	О	О	О	О	О	(2+)
38	Shirk my duties.	О	О	О	О	О	(3-)
39	Have frequent mood swings.	О	О	О	О	О	(4-)
40	Use difficult words.	О	О	О	О	О	(5+)
41	Don't mind being the center of attention.	О	О	О	О	О	(1+)
42	Feel others' emotions.	О	О	О	О	О	(2+)
43	Follow a schedule.	О	О	О	О	О	(3+)
44	Get irritated easily.	О	О	О	О	О	(4-)
45	Spend time reflecting on things.	О	О	О	О	О	(5+)
46	Am quiet around strangers.	О	О	О	О	О	(1-)
47	Make people feel at ease.	О	О	О	О	О	(2+)
48	Am exacting in my work.	О	О	О	О	О	(3+)
49	Often feel blue.	О	О	О	О	О	(4-)
50	Am full of ideas.	О	О	О	О	О	(5+)
