UserID,Role,Round,Total,move,gameType
e6bccec1-c7f1-4b63-8d4a-7c1caf1c2999,second,1,100,,dictator
e6bccec1-c7f1-4b63-8d4a-7c1caf1c2999,second,2,100,,dictator
e6bccec1-c7f1-4b63-8d4a-7c1caf1c2999,second,3,100,,dictator
6a091542-aed7-40f7-b74a-bde510569935,second,1,100,,dictator
4d01b82f-c1f8-4fc4-92ed-13f976019b5a,first,1,100,0.0,dictator
4d01b82f-c1f8-4fc4-92ed-13f976019b5a,first,2,100,0.0,dictator
4d01b82f-c1f8-4fc4-92ed-13f976019b5a,first,3,100,0.0,dictator
17cc116a-713a-45c2-9160-7c7f0bc0416f,first,1,100,50.0,dictator
17cc116a-713a-45c2-9160-7c7f0bc0416f,first,2,100,50.0,dictator
17cc116a-713a-45c2-9160-7c7f0bc0416f,first,3,100,2.0,dictator
17cc116a-713a-45c2-9160-7c7f0bc0416f,second,1,100,,dictator
ac495016-f78d-42ae-8cdc-c63d1aaae05f,second,1,100,,dictator
ac495016-f78d-42ae-8cdc-c63d1aaae05f,second,2,100,,dictator
ac495016-f78d-42ae-8cdc-c63d1aaae05f,second,3,100,,dictator
ac495016-f78d-42ae-8cdc-c63d1aaae05f,second,1,100,,dictator
320f8428-367e-4f73-a363-fe5c18b5aafa,first,1,100,36.0,dictator
8d13ef5b-6408-4902-8c55-21f759d6e826,first,1,100,0.0,dictator
5540db92-5629-490a-b9c9-fae72e5523d3,second,1,100,,dictator
5540db92-5629-490a-b9c9-fae72e5523d3,second,2,100,,dictator
5540db92-5629-490a-b9c9-fae72e5523d3,second,3,100,,dictator
5dcb29b6-f481-4931-bc07-b1c086466a37,first,1,100,49.0,dictator
5dcb29b6-f481-4931-bc07-b1c086466a37,first,2,100,46.0,dictator
5dcb29b6-f481-4931-bc07-b1c086466a37,first,3,100,50.0,dictator
15951258-6b27-4306-ba84-bcac13ac4909,first,1,100,48.0,dictator
15951258-6b27-4306-ba84-bcac13ac4909,first,2,100,40.0,dictator
15951258-6b27-4306-ba84-bcac13ac4909,first,3,100,50.0,dictator
15951258-6b27-4306-ba84-bcac13ac4909,second,1,100,,dictator
88902197-6ed9-4365-8a49-9042f20aa007,second,1,100,,dictator
88902197-6ed9-4365-8a49-9042f20aa007,second,2,100,,dictator
88902197-6ed9-4365-8a49-9042f20aa007,second,3,100,,dictator
166e95ea-5225-4d41-a864-e1fb6e8161d8,first,1,100,0.0,dictator
166e95ea-5225-4d41-a864-e1fb6e8161d8,first,2,100,0.0,dictator
166e95ea-5225-4d41-a864-e1fb6e8161d8,first,3,100,0.0,dictator
166e95ea-5225-4d41-a864-e1fb6e8161d8,first,1,100,0.0,dictator
9b37669e-9969-4c4c-bfa6-0c886eedb741,second,1,100,,dictator
9b37669e-9969-4c4c-bfa6-0c886eedb741,second,2,100,,dictator
9b37669e-9969-4c4c-bfa6-0c886eedb741,second,3,100,,dictator
f422e837-9093-442b-aa09-c2c82ebb72a8,first,1,100,46.0,dictator
f422e837-9093-442b-aa09-c2c82ebb72a8,first,2,100,39.0,dictator
f422e837-9093-442b-aa09-c2c82ebb72a8,first,3,100,0.0,dictator
266629c1-8b72-4a8c-8209-256dbd0399b2,first,1,100,6.0,dictator
266629c1-8b72-4a8c-8209-256dbd0399b2,first,2,100,16.0,dictator
266629c1-8b72-4a8c-8209-256dbd0399b2,first,3,100,37.0,dictator
007ce6b9-32ff-411f-a3e6-2a4c5620d713,second,1,100,,dictator
007ce6b9-32ff-411f-a3e6-2a4c5620d713,second,2,100,,dictator
007ce6b9-32ff-411f-a3e6-2a4c5620d713,second,3,100,,dictator
007ce6b9-32ff-411f-a3e6-2a4c5620d713,first,1,100,50.0,dictator
ffe9fa52-943f-40bf-9355-23c90d9ef3b5,second,1,100,,dictator
ffe9fa52-943f-40bf-9355-23c90d9ef3b5,second,2,100,,dictator
ffe9fa52-943f-40bf-9355-23c90d9ef3b5,second,3,100,,dictator
de723791-c52b-4465-aae6-061425de7673,second,1,100,,dictator
de723791-c52b-4465-aae6-061425de7673,second,2,100,,dictator
de723791-c52b-4465-aae6-061425de7673,second,3,100,,dictator
de723791-c52b-4465-aae6-061425de7673,first,1,100,50.0,dictator
cde65485-feb6-4816-bc2e-276e0fdc45e4,first,1,100,0.0,dictator
cde65485-feb6-4816-bc2e-276e0fdc45e4,first,2,100,0.0,dictator
cde65485-feb6-4816-bc2e-276e0fdc45e4,first,3,100,0.0,dictator
cde65485-feb6-4816-bc2e-276e0fdc45e4,first,1,100,0.0,dictator
0babf7ee-0573-4745-a366-1b6ef1a8bb9d,second,1,100,,dictator
0babf7ee-0573-4745-a366-1b6ef1a8bb9d,second,2,100,,dictator
0babf7ee-0573-4745-a366-1b6ef1a8bb9d,second,3,100,,dictator
0babf7ee-0573-4745-a366-1b6ef1a8bb9d,second,1,100,,dictator
f3c4a43a-1399-45cf-a7df-8e628aa41ce3,first,1,100,40.0,dictator
f3c4a43a-1399-45cf-a7df-8e628aa41ce3,first,2,100,40.0,dictator
f3c4a43a-1399-45cf-a7df-8e628aa41ce3,first,3,100,40.0,dictator
f3c4a43a-1399-45cf-a7df-8e628aa41ce3,first,1,100,20.0,dictator
922c3e20-fbed-496e-8614-bfb110772762,second,1,100,,dictator
922c3e20-fbed-496e-8614-bfb110772762,second,2,100,,dictator
922c3e20-fbed-496e-8614-bfb110772762,second,3,100,,dictator
922c3e20-fbed-496e-8614-bfb110772762,first,1,100,50.0,dictator
ee31efa8-d0fa-4539-b10d-4d42780bc959,second,1,100,,dictator
ee31efa8-d0fa-4539-b10d-4d42780bc959,second,2,100,,dictator
ee31efa8-d0fa-4539-b10d-4d42780bc959,second,3,100,,dictator
ee31efa8-d0fa-4539-b10d-4d42780bc959,first,1,100,50.0,dictator
554008b3-444e-4170-814c-c3f96316cc91,first,1,100,25.0,dictator
554008b3-444e-4170-814c-c3f96316cc91,first,2,100,25.0,dictator
554008b3-444e-4170-814c-c3f96316cc91,first,3,100,25.0,dictator
554008b3-444e-4170-814c-c3f96316cc91,first,1,100,25.0,dictator
930eee4f-479c-4499-8018-c857ddb122f0,first,1,100,20.0,dictator
930eee4f-479c-4499-8018-c857ddb122f0,first,2,100,35.0,dictator
930eee4f-479c-4499-8018-c857ddb122f0,first,3,100,49.0,dictator
59bae372-45c4-4b70-b2f9-c942b66da05d,second,1,100,,dictator
59bae372-45c4-4b70-b2f9-c942b66da05d,second,2,100,,dictator
59bae372-45c4-4b70-b2f9-c942b66da05d,second,3,100,,dictator
fd96ecbb-9522-4e5e-96fe-99be8dd9419e,first,1,100,34.0,dictator
fd96ecbb-9522-4e5e-96fe-99be8dd9419e,first,2,100,0.0,dictator
fd96ecbb-9522-4e5e-96fe-99be8dd9419e,first,3,100,2.0,dictator
c20da7fb-000d-4208-b797-d5a82de26055,second,1,100,,dictator
c20da7fb-000d-4208-b797-d5a82de26055,second,2,100,,dictator
c20da7fb-000d-4208-b797-d5a82de26055,second,3,100,,dictator
c20da7fb-000d-4208-b797-d5a82de26055,second,1,100,,dictator
a9818e6e-daa4-41e8-ba42-047952aaf890,second,1,100,,dictator
a9818e6e-daa4-41e8-ba42-047952aaf890,second,2,100,,dictator
a9818e6e-daa4-41e8-ba42-047952aaf890,second,3,100,,dictator
34522a91-1936-4683-9067-9b293119b35e,second,1,100,,dictator
d6fe5d34-2703-4c76-8efb-6a8eabfd943f,second,3,100,,dictator
d6fe5d34-2703-4c76-8efb-6a8eabfd943f,first,1,100,99.0,dictator
af5a97ff-07c7-405e-9362-d3d500995fc1,second,1,100,,dictator
af5a97ff-07c7-405e-9362-d3d500995fc1,second,2,100,,dictator
af5a97ff-07c7-405e-9362-d3d500995fc1,second,3,100,,dictator
af5a97ff-07c7-405e-9362-d3d500995fc1,second,1,100,,dictator
ed9f4204-eeed-4965-9f02-63a5393314d9,first,1,100,40.0,dictator
ed9f4204-eeed-4965-9f02-63a5393314d9,first,2,100,30.0,dictator
ed9f4204-eeed-4965-9f02-63a5393314d9,first,3,100,0.0,dictator
ed9f4204-eeed-4965-9f02-63a5393314d9,first,1,100,25.0,dictator
7a22dd1a-cb4a-4ae4-9ca4-9fd5f9d65e35,first,1,100,40.0,dictator
7a22dd1a-cb4a-4ae4-9ca4-9fd5f9d65e35,first,2,100,39.0,dictator
7a22dd1a-cb4a-4ae4-9ca4-9fd5f9d65e35,first,3,100,40.0,dictator
7a22dd1a-cb4a-4ae4-9ca4-9fd5f9d65e35,first,1,100,0.0,dictator
c1d88d9b-931b-43e2-94a6-215f5f2020ee,second,1,100,,dictator
c1d88d9b-931b-43e2-94a6-215f5f2020ee,second,2,100,,dictator
c1d88d9b-931b-43e2-94a6-215f5f2020ee,second,3,100,,dictator
aaf314fb-f2b0-49f5-8d3e-9dee63b6a2f8,second,1,100,,dictator
aaf314fb-f2b0-49f5-8d3e-9dee63b6a2f8,second,2,100,,dictator
aaf314fb-f2b0-49f5-8d3e-9dee63b6a2f8,second,3,100,,dictator
0ccb3f2f-b5ea-41dc-b9b2-bc7766921ed3,second,1,100,,dictator
0ccb3f2f-b5ea-41dc-b9b2-bc7766921ed3,second,2,100,,dictator
0ccb3f2f-b5ea-41dc-b9b2-bc7766921ed3,second,3,100,,dictator
0ccb3f2f-b5ea-41dc-b9b2-bc7766921ed3,second,1,100,,dictator
4f1dca1e-443a-4b09-8105-0587664ca93d,first,1,100,20.0,dictator
4f1dca1e-443a-4b09-8105-0587664ca93d,first,2,100,30.0,dictator
4f1dca1e-443a-4b09-8105-0587664ca93d,first,3,100,30.0,dictator
8afae9b9-e300-4004-8380-442439d31254,first,1,100,50.0,dictator
8afae9b9-e300-4004-8380-442439d31254,first,2,100,0.0,dictator
8afae9b9-e300-4004-8380-442439d31254,first,3,100,0.0,dictator
8afae9b9-e300-4004-8380-442439d31254,second,1,100,,dictator
9af321bd-2fbd-4248-b402-5fb21aabd7bd,first,1,100,34.0,dictator
9af321bd-2fbd-4248-b402-5fb21aabd7bd,first,2,100,41.0,dictator
9af321bd-2fbd-4248-b402-5fb21aabd7bd,first,3,100,38.0,dictator
86cb9082-ee83-437a-9cb9-f99b33e9b91f,second,1,100,,dictator
86cb9082-ee83-437a-9cb9-f99b33e9b91f,second,2,100,,dictator
86cb9082-ee83-437a-9cb9-f99b33e9b91f,second,3,100,,dictator
86cb9082-ee83-437a-9cb9-f99b33e9b91f,second,1,100,,dictator
31934b98-9bf1-4a2a-a05e-5b9c31e886f4,second,1,100,,dictator
31934b98-9bf1-4a2a-a05e-5b9c31e886f4,second,2,100,,dictator
31934b98-9bf1-4a2a-a05e-5b9c31e886f4,second,3,100,,dictator
31934b98-9bf1-4a2a-a05e-5b9c31e886f4,first,1,100,0.0,dictator
a2a94330-6130-4dad-a0b2-4cc5cea4403a,first,1,100,70.0,dictator
a2a94330-6130-4dad-a0b2-4cc5cea4403a,first,2,100,0.0,dictator
a2a94330-6130-4dad-a0b2-4cc5cea4403a,first,3,100,0.0,dictator
bfb44db3-67bd-456e-9c68-83c6028a54bb,second,1,100,,dictator
bfb44db3-67bd-456e-9c68-83c6028a54bb,second,2,100,,dictator
bfb44db3-67bd-456e-9c68-83c6028a54bb,second,3,100,,dictator
8c57db30-4da6-48b4-be99-c9cb10a407b4,first,1,100,50.0,dictator
8c57db30-4da6-48b4-be99-c9cb10a407b4,first,2,100,50.0,dictator
8c57db30-4da6-48b4-be99-c9cb10a407b4,first,3,100,50.0,dictator
c7effc21-c5de-49f2-8b2f-de11dc82a584,first,1,100,50.0,dictator
c7effc21-c5de-49f2-8b2f-de11dc82a584,first,2,100,80.0,dictator
c7effc21-c5de-49f2-8b2f-de11dc82a584,first,3,100,50.0,dictator
10570c01-f77c-4772-a309-af00d99d1aaf,first,1,100,53.0,dictator
10570c01-f77c-4772-a309-af00d99d1aaf,first,2,100,25.0,dictator
10570c01-f77c-4772-a309-af00d99d1aaf,first,3,100,76.0,dictator
1b941c40-09f4-4196-9172-5109f189816e,first,1,100,0.0,dictator
1b941c40-09f4-4196-9172-5109f189816e,first,2,100,37.0,dictator
1b941c40-09f4-4196-9172-5109f189816e,first,3,100,44.0,dictator
a959da3c-fefb-4311-a028-cf7444f218df,second,1,100,,dictator
a959da3c-fefb-4311-a028-cf7444f218df,second,2,100,,dictator
a959da3c-fefb-4311-a028-cf7444f218df,second,3,100,,dictator
a959da3c-fefb-4311-a028-cf7444f218df,first,1,50,0.0,dictator
2a335e78-6ed8-4f42-87d1-63773cc0af28,first,1,100,29.0,dictator
2a335e78-6ed8-4f42-87d1-63773cc0af28,first,2,100,40.0,dictator
2a335e78-6ed8-4f42-87d1-63773cc0af28,first,3,100,34.0,dictator
6f45d958-5be0-40c9-b335-b70e50dce9cf,first,1,100,52.0,dictator
6f45d958-5be0-40c9-b335-b70e50dce9cf,first,2,100,50.0,dictator
6f45d958-5be0-40c9-b335-b70e50dce9cf,first,3,100,40.0,dictator
4fb38bc7-def0-4913-8695-95e91738f507,second,1,100,,dictator
4fb38bc7-def0-4913-8695-95e91738f507,second,2,100,,dictator
4fb38bc7-def0-4913-8695-95e91738f507,second,3,100,,dictator
4fb38bc7-def0-4913-8695-95e91738f507,first,1,100,35.0,dictator
d41c8e87-f310-4b0f-a892-bbc210e6283b,second,1,100,,dictator
d41c8e87-f310-4b0f-a892-bbc210e6283b,second,2,100,,dictator
d41c8e87-f310-4b0f-a892-bbc210e6283b,second,3,100,,dictator
d2cd0657-6408-4996-9dff-a90446b56ed8,second,1,100,,dictator
49733b7a-6aa2-47ed-b074-e62f16569f82,second,1,100,,dictator
49733b7a-6aa2-47ed-b074-e62f16569f82,second,2,100,,dictator
49733b7a-6aa2-47ed-b074-e62f16569f82,second,3,100,,dictator
